X,Y,OBJECTID,KC_Fac_FID,F_Name,F_Type,SiteName,SiteType,Owner,OwnerType,Manager,ManageType,Maintd_By,MaintType
-121.9601483658,47.1972017625478,1934,2176,Tennis Court,Tennis Court,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961520618344,47.1921476083132,1935,2163,Gate 5,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961824362509,47.198739454265,1936,2164,Parking Lot,Parking Lot,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.959887484938,47.1988909188974,1937,2172,Sign,Sign,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961084866057,47.1979604330628,1938,2171,Restroom,Restroom,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961029330498,47.197713504734,1939,2174,Stadium,Stadium Grandstand,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.958101228045,47.1952989873229,1940,2178,Club House,Community Center,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.951228588742,47.1980600980345,1941,2199,Enumclaw Golf Course Bridge 2606-01 (at Boise Creek),Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.956079018238,47.1950760478012,1942,2200,Enumclaw Golf Course Bridge 2606-02 (at Boise Creek),Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.956846720458,47.1949217466655,1943,2201,Enumclaw Golf Course Bridge 2606-03 (at Boise Creek),Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.956958835219,47.1916224492939,1944,2202,Bridge,Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.953679620221,47.1909234866414,1945,2203,Bridge,Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.959107608471,47.1896502274526,1946,2204,Enumclaw Golf Course Bridge 2606-05 (at Boise Creek),Bridge,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.957688306355,47.1985344813142,1947,2179,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.953899885639,47.1970480724124,1948,2180,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.956666014812,47.192082328452,1949,2182,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.954236962715,47.1981725390611,1950,2184,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.955456959111,47.1966668294174,1951,2185,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.950863402228,47.1972610571707,1952,2187,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.958017590744,47.1930950177511,1953,2189,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961799212064,47.1879773505973,1954,2192,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.95932350496,47.1872095556026,1955,2193,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.95424106629,47.1941794275324,1956,2196,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.954626994032,47.1975895183402,1957,2197,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.9559337811,47.1959610136225,1958,2198,Bench,Bench,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.957713125226,47.1952090639837,1959,2240,Shop,Office,Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.957406767944,47.1954735557372,1960,2241,Residence (Caretaker),Residence (Caretaker),Enumclaw Golf Course,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.962951486724,47.1932918675422,1961,2220,Public Telephone Location,Public Telephone Location,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.962839835286,47.1953806570095,1962,2221,Public Telephone Location,Public Telephone Location,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961392368683,47.1947151976077,1963,2224,Restroom,Restroom,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961990842748,47.1935995302807,1964,2225,Restroom,Restroom,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.962112137072,47.1955702361623,1965,2226,Sign,Sign,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.963457546957,47.1921685708122,1966,2227,Sign,Sign,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961027104374,47.1966148382819,1967,2215,North Parking Lot,Parking Lot,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.962044742043,47.1922860717938,1968,2216,Parking Lot,Parking Lot,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.963212037961,47.1927902006065,1969,2217,Parking Lot,Parking Lot,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.962982743649,47.1906644459311,1970,2218,South Parking Lot,Parking Lot,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.963444860935,47.1931568999158,1971,2208,Gate 4,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.960869064774,47.1921487934942,1972,2209,Gate 6,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.963496398211,47.1955488529466,1973,2210,Gate 2,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.963479539717,47.1947664388286,1974,2211,Gate 3,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.961209502319,47.1980333685075,1975,2212,Stadium North Ticket Booth & Stadium Gate,Gate,Enumclaw Park,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.960479094559,47.1955790178985,1976,2207,Gate,Gate,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-121.960011030855,47.1966612917068,1977,2239,Camping Area,Camping Area,Enumclaw Exposition Center,Park Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-122.143046710317,47.704089145915,1978,337,Bridge,Bridge,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.141423043583,47.7037968544761,1979,342,Parking Lot,Parking Lot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.142192702814,47.7049060506154,1980,343,Parking Lot,Parking Lot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.137498129742,47.7020265696642,1981,341,Gate,Gate,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.135947482718,47.703607674892,1982,344,Parking Lot,Parking Lot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.136642463261,47.7070567456952,1983,705,Soccer Field,Soccer Field,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.136938132074,47.7060474101692,1984,706,Soccer Field,Soccer Field,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.137019730968,47.7047309973488,1985,707,Soccer Field,Soccer Field,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.142009290374,47.7075818259587,1986,347,Restroom,Restroom,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.142105523596,47.7075991960022,1987,338,Sixty Acres Park Concession,Concession,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.142301195207,47.7072182360387,1988,930,Water Spigot,Water Spigot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.142174478752,47.7059911766285,1989,975,Parking Lot,Parking Lot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.139312616542,47.7042874530439,1990,1096,Parking Lot,Parking Lot,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.141902126448,47.7044147848052,1991,348,Sign,Sign,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.140335377342,47.7041464136083,1992,340,Gate,Gate,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.137638765381,47.7041126401885,1993,352,Gate,Gate,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.136740739397,47.7043168881093,1994,353,Gate,Gate,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.138858852183,47.7042002795572,1995,346,Public Telephone Location,Public Telephone Location,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.141936930733,47.7074256293064,1996,339,Drinking Fountain,Drinking Fountain,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.141909057128,47.7068624963949,1997,475,Drinking Fountain,Drinking Fountain,Sixty Acres Park,Park Site,King County Parks and Recreation,King County Parks,Lake Washington Youth Soccer Association,City,Lake Washington Youth Soccer Association,City
-122.040604451362,47.3368875037698,1998,992,Boat Launch Trailer Ramp,Boat Launch Trailer Ramp,Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City
-122.041388719138,47.336965624503,1999,994,Parking Lot,Parking Lot,Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City
-122.041546517225,47.3369120460704,2000,1097,Gate,Gate,Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City
-122.041627731259,47.337123077503,2001,995,Restroom,Restroom,Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City
-122.042205919026,47.3373677227565,2002,993,Boat Put-in Area (Non-motorized),Boat Put-in Area (Non-motorized),Lake Sawyer Park,Park Site,City of Black Diamond,City,City of Black Diamond,City,City of Black Diamond,City
-122.221830227191,47.3106727215628,2003,1191,Auburn Pool,Swimming Pool,Auburn Pool Site,Pool Site,Auburn School District,School District,Auburn School District,School District,Auburn School District,School District
-122.007995895973,47.1893286500828,2004,1192,Enumclaw Pool,Swimming Pool,Enumclaw Pool Site,Pool Site,City of Enumclaw,City,City of Enumclaw,City,City of Enumclaw,City
-122.342136839801,47.4998122928625,2005,1193,Evergreen Pool,Swimming Pool,Evergreen Pool Site,Pool Site,Highline School District,School District,Highline School District,School District,Highline School District,School District
-122.313619613737,47.3294416835265,2006,1194,Kenneth Jones Pool,Swimming Pool,Kenneth Jones Pool Site,Pool Site,City of Federal Way,City,City of Federal Way,City,City of Federal Way,City
-122.205512917554,47.3747615439903,2007,1195,Kent Pool,Swimming Pool,Kent Pool Site,Pool Site,City of Kent,City,City of Kent,City,City of Kent,City
-122.220734407375,47.574197780222,2008,1196,Mary Wayte Pool,Swimming Pool,Mary Wayte Pool Site,Pool Site,Mercer Island School District,School District,Northwest Center,Other,Northwest Center,Other
-122.308085492095,47.3979065715931,2009,1197,Mount Rainier Pool,Swimming Pool,Mount Rainier Pool Site,Pool Site,Highline School District,School District,Highline School District,School District,Highline School District,School District
-122.105813889864,47.6926300474574,2010,1199,Redmond Pool,Swimming Pool,Redmond Pool Site,Pool Site,Northwest Center,Other,Northwest Center,Other,Northwest Center,Other
-122.208177055947,47.7637395314072,2011,1198,Costie/Ruiz Pool,Swimming Pool,Costie/Ruiz Pool Site,Pool Site,Northshore School District,School District,Northwest Center,Other,Northwest Center,Other
-122.167315959632,47.4535727582119,2012,1200,Renton Pool,Swimming Pool,Renton Pool Site,Pool Site,Renton School District,School District,Renton School District,School District,Renton School District,School District
-122.277566932587,47.4750055350489,2013,1201,Tukwila Pool,Swimming Pool,Tukwila Pool Site,Pool Site,City of Tukwila,City,City of Tukwila,City,City of Tukwila,City
-122.256391648749,47.7328084840556,2014,1202,Saint Edward Pool,Swimming Pool,Saint Edward Pool Site,Pool Site,Washington State Parks,State,Washington State Parks,State,Washington State Parks,State
-122.098111452754,47.3875171232655,2015,1245,Tahoma Pool,Swimming Pool,Covington Aquatic Center,Pool Site,Tahoma School District,School District,Tahoma School District,School District,Tahoma School District,School District
-122.459000812335,47.4241791873025,2016,1246,Vashon Pool,Swimming Pool,Vashon Pool Site,Pool Site,Vashon School District,School District,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.343396961119,47.2959255286497,2017,1247,Weyerhaeuser King County Aquatic Center Pool,Swimming Pool,Weyerhaeuser King County Aquatic Center Site,Pool Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.460756481715,47.4285523586978,2018,1104,Garage,Building (Other),Vashon Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.310563298824,47.4805875861455,2019,1105,Parking Lot,Parking Lot,Sunset Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.143185293924,47.3787734053436,2020,1187,Storage Shed,Building (Other),Soos Creek Shop Complex,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.179553290523,47.4861838093578,2021,1189,Renton Shop,Office,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.21751753303,47.7057524442942,2022,1190,Parking Lot,Parking Lot,Juanita Beach Park,Park Site,City of Kirkland,City,City of Kirkland,City,City of Kirkland,City
-122.179228457886,47.4858437487763,2023,1252,Parking Lot,Parking Lot,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.179165985215,47.4863237122501,2024,1253,Parking Lot,Parking Lot,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.178962548578,47.4864980773078,2025,1300,Parking Lot,Parking Lot,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.17986895049,47.4863294694797,2026,1249,Gate,Gate,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.179284915133,47.4867423244526,2027,1250,Gate,Gate,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.177929342792,47.4862650725626,2028,1248,Gate,Gate,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.179286963289,47.486660550119,2029,1301,Water Spigot,Water Spigot,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.179628019193,47.4866621432446,2030,1302,Water Spigot,Water Spigot,Renton Shop Site,Shop Site,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.28096541937,47.7513491767439,2031,3179,Burke-Gilman Trail Bridge 2109-01 (at Mc Aleer Creek),Bridge,Burke-Gilman Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.277369315262,47.7530337499299,2032,3180,Burke-Gilman Trail Bridge 2109-02 (at Lyon Creek),Bridge,Burke-Gilman Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.261741353019,47.7579210647964,2033,3181,Burke-Gilman Trail Bridge 2109-03 (at Stream # 0056),Bridge,Burke-Gilman Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.233901920074,47.7555871696255,2034,3182,Burke-Gilman Trail Bridge 2109-04 (at Swamp Creek),Bridge,Burke-Gilman Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.384456173203,47.76384724048,2035,3183,Richmond Beach Bridge 2118-01 (at BNRR Main Track),Bridge,Richmond Beach Saltwater Park,Park Site,City of Shoreline,City,City of Shoreline,City,City of Shoreline,City
-122.24922504023,47.7086563230436,2036,3184,O.O. Denny Bridge 2147-01 (at Class 2 Creek),Bridge,O. O. Denny Park,Park Site,Finn Hill PRD,Park District,Finn Hill PRD,Park District,Finn Hill PRD,Park District
-122.126347882175,47.6677091315708,2037,3185,Sammamish River Trail Bridge 2156-01 (at Sammamish River),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.12793502779,47.6706157761784,2038,3186,Sammamish River Trail Bridge 2156-02 (at Sammamish River),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.163205948748,47.7489257167111,2039,3187,Sammamish River Trail Bridge 2156-03 (at Woodin Creek),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.168746634357,47.7549172039815,2040,3188,Sammamish River Trail Bridge 2156-04 (at Bear Creek),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.188912686679,47.7563092362539,2041,3189,Sammamish River Trail Bridge 2156-05 (at North Creek),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.196077427607,47.7550350253199,2042,3190,Sammamish River Trail Bridge 2156-06 (at Sammamish River),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.209995396351,47.7525239596849,2043,3191,Sammamish River Trail Bridge 2156-07 (at Sammamish River),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-122.210146036935,47.7505467618722,2044,3192,Sammamish River Trial Bridge 2156-08 (at Sammamish River),Bridge,Sammamish River Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.957777635139,47.766878587678,2045,3193,Snoqualmie Valley Trail Bridge 2178-01 (at Cherry Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.959013197154,47.7660861054974,2046,3194,Snoqualmie Valley Trail Bridge 2178-02 (at Pond),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.972822090289,47.7583057370035,2047,3195,Snoqualmie Valley Trail Bridge 2178-04 (at Farm Access Road),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.969390354231,47.7600952988935,2048,3196,Snoqualmie Valley Trail Bridge 2178-03 (at Slough),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.978579556211,47.7550982219244,2049,3197,Snoqualmie Valley Trail Bridge 2178-05 (at Wetland),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.983208012632,47.7525259164733,2050,3198,Snoqualmie Valley Trail Bridge 2178-06 (at Wetland),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.989443620644,47.7376483498741,2051,3199,Snoqualmie Valley Trail Bridge 2178-07 (at  Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.990839148011,47.7306117187591,2052,3200,Snoqualmie Valley Trail Bridge 2178-09 (at Unclassified Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.989898021484,47.7353361037246,2053,3201,Snoqualmie Valley Trail Bridge 2178-08 (at Wetland),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.990235212417,47.7244312948616,2054,3203,Snoqualmie Valley Trail Bridge 2178-11 (at Wetland),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.987311382325,47.7177517092968,2055,3206,Snoqualmie Valley Trail Bridge 2178-14 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.986582429088,47.7160742370199,2056,3207,Snoqualmie Valley Trail Bridge 2178-15 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.984670101988,47.7110749423818,2057,3208,Snoqualmie Valley Trail Bridge 2178-16 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.984898969985,47.7063996009508,2058,3209,Snoqualmie Valley Trail Bridge 2178-17 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.983679139408,47.7037536469924,2059,3210,Snoqualmie Valley Trail Bridge 2178-18 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.949867282799,47.6890412811916,2060,3211,Snoqualmie Valley Trail Bridge 2178-20 (at Swale),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.945782323615,47.6884140848181,2061,3212,Snoqualmie Valley Trail Bridge 2178-21 (at Weiss Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.959993420897,47.6907395172364,2062,3213,Snoqualmie Valley Trail Bridge 2178-19 (at Pond),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.93382934387,47.6859031253248,2063,3215,Snoqualmie Valley Trail Bridge 2178-23 (at Wetland),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.918885353899,47.6789600081131,2064,3217,Snoqualmie Valley Trail Bridge 2178-25 (at Harris Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.911455075679,47.6713994436577,2065,3219,Snoqualmie Valley Trail Bridge 2178-27 (at Class 2 Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.907251406534,47.6405079472679,2066,3220,Snoqualmie Valley Trail Bridge 2178-28 (at Tolt River),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.907252919478,47.6384018816774,2067,3221,Snoqualmie Valley Trail Bridge 2178-29 (at NE 32nd St),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.904442550495,47.6156428460485,2068,3222,Snoqualmie Valley Trail Bridge 2178-30 (at Griffen Creek and Private Driveway),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.869287059944,47.5695193207481,2069,3223,Snoqualmie Valley Trail Bridge 2178-31 (at Unclassified Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,,,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
-121.864591735324,47.5674132776956,2070,3224,Snoqualmie Valley Trail Bridge 2178-32 (at No Name Creek),Bridge,Snoqualmie Valley Trail Site,Trail Site Regional,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks,King County Parks and Recreation,King County Parks
